index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,10,83,32,10004.637,1
1,15111065706836782340,20,20,random,10,86,45,10004.292917,1
2,15111065706836782341,20,20,random,10,81,35,10004.636667,1
3,15111065706836782342,20,20,random,10,79,32,10004.730375,1
4,15111065706836782343,20,20,random,10,79,29,10004.532042,1
5,15111065706836782344,20,20,random,10,84,40,10004.433959,1
6,15111065706836782345,20,20,random,10,77,29,10004.49925,1
7,15111065706836782346,20,20,random,10,84,42,10004.432084,1
