index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,10,82,33,10004.658417,1
1,15111065706836782340,20,20,random,10,86,45,10005.389208,1
2,15111065706836782341,20,20,random,10,79,37,10004.468708,1
3,15111065706836782342,20,20,random,10,78,31,10004.628125,1
4,15111065706836782343,20,20,random,10,81,31,10005.602375,1
5,15111065706836782344,20,20,random,10,83,43,10004.929583,1
6,15111065706836782345,20,20,random,10,75,39,10004.739583,1
7,15111065706836782346,20,20,random,10,85,38,10004.81,1
