index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,10,83,32,10004.43525,1
1,15111065706836782340,20,20,random,10,86,45,10004.189416,1
2,15111065706836782341,20,20,random,10,82,36,10004.508833,1
3,15111065706836782342,20,20,random,10,78,28,10004.687958,1
4,15111065706836782343,20,20,random,10,79,29,10004.483875,1
5,15111065706836782344,20,20,random,10,84,42,10004.291584,1
6,15111065706836782345,20,20,random,10,77,29,10005.02325,1
7,15111065706836782346,20,20,random,10,83,43,10004.626875,1
